Area_Id,Area,Latitude,Longitude
7255,Irumbuliyur East-Bus stop,12.9152026,80.1059892
7257,Iyyappanthangal-Bus Depot,13.0381,80.1351
7258,Iyyappanthangal-Ramachandra Hospital,13.0369,80.142
7824,Iyyappanthangal-Srinivasa Kalyana Mandapam,13.0471,80.1368
7259,Jafferkhanpet-Kasi Theatre,13.0296,80.2085
7260,Jaladampet-Bus stop,12.9291,80.2026
7262,Jawahar Nagar-Bus stop,13.1128,80.2294
7710,K K Nagar-Ayyappan Kovil Bus Stop,13.0393,80.1968
7264,K K Nagar-Bus Depot,13.035681,80.20559
7263,K K Nagar-Pondicherry Guest House,13.0419,80.1933
7851,K K Nagar-Sivan Park Bus stop,13.0411,80.2052
7857,Kadaperi-Burma Colony Bus stop,12.9504,80.1183
7266,Kaladipet-Bus Stop,13.1542,80.3006
7267,Kalmandapam-Bus Stop,13.1151,80.2926
7269,Kamarajapuram-Bus Stand,12.9234,80.155
7268,Kamarajapuram-New life hostel,12.9227,80.1521
7270,Kanagam-Madhya Kailash Bus Stop,13.0066,80.2467
7271,Kandanchavadi-GMR,12.9635,80.2454
7273,Kannadasan Nagar-Bus Stop,13.1361,80.2573
7275,Kannadasan Nagar-EB Office,13.1314,80.2585
7274,Kannadasan Nagar-P6 Police Station,13.1314,80.257
7276,Karambakkam-Bus stop,13.0375,80.1593
14414,Karanai Bus Stop,12.858674,80.199785
14455,Karanai Puduchery -Arungal Government primary School,12.8309221,80.0979469
7277,Karanai-Puthuchery Bus stop,12.8456307,80.0867714
7278,Karapakkam-Aravind Theatre,12.915341,80.229382
7280,Karayanchavadi-Signal,13.0463,80.1117
7281,Kasimedu-Bus Stop,13.124625,80.294479
7282,Kattankulathur-Bus Stop,12.8092,80.0296
7873,Kattankulathur-Sivananda Gurukulam Bus stop,12.8145,80.0326
7283,Kattupakkam-Bus Stop,13.0411,80.1273
7284,Kavangarai Puzhal-Bus stop,13.1705,80.1995
14457,Kelambakkam - Pungeri Bus stop,12.7984217,80.1385625
14415,Kelambakkam - Vijayashanthi Apartment,12.760201,80.208903
7288,Kelambakkam-Bus Stop,12.7863,80.2221
7289,Kelambakkam-Kazhipattur Bus stop,12.8197,80.2304
7287,Kelambakkam-Mambakkam Bus stop,12.8276,80.165
7285,Kelambakkam-Pudhupakkam Panchayat Office Bus stop,12.8084,80.2004
7711,Kelambakkam-Thaiyur Bus Stop,12.773617,80.213889
14232,Kelampakkam - Keelakottaiyur Bus Stop,12.8400159,80.1531865
7290,Kellys-MTC Stop,13.0829,80.2412
7291,Kilkattalai-Bus Stop,12.9563,80.1868
7712,Kilkattalai-Ganesh Nagar Bus Stop,12.961462,80.187269
7292,Kilkattalai-Junction,12.955679,80.186811
7841,Kilpauk New Avadi Road-VOC Nagar Bus stop,13.0911,80.2278
7297,Kilpauk New Avadi Road-Water tank,13.0887,80.2312
7294,Kilpauk-Cemetry,13.0831,80.2286
7295,Kilpauk-Garden Bus Stop,13.0835,80.2333
7296,Kilpauk-K.M.C,13.077963,80.24411
7293,Kilpauk-Mummy Daddy Shopping Complex,13.0836,80.2399
7713,Kodambakkam-Five Lamps,13.0449,80.2256
7299,Kodambakkam-Samiyaar Madam,13.0472,80.2189
7301,Kodambakkam-Sekar Emporium,13.0539,80.2278
7303,Kodungaiyur-Indian Bank (Meenambal Road),13.1292,80.2589
7714,Kodungaiyur-Muthamizh Nagar Mosque,13.1327,80.2475
7843,Kodungaiyur-Parvathi Nagar Bus stop,13.1457,80.2503
7305,Kolathur-Bus Stop,13.1206,80.2122
7715,Kolathur-Ganga Sweets,13.1209496,80.2239753
7310,Kolathur-Ganga theatre,13.1249,80.2175
7306,kolathur-Kumaran Nagar Bus stop,13.1247,80.2248
7717,Kolathur-Poompuhar Nagar Bus stop,13.1206,80.2122
7782,"Kolathur-Regional Geoscience Lab, ONGC",13.1157,80.1977
7308,Kolathur-Senthil Nagar Bus stop,13.1238,80.2025
7716,Kolathur-Teachers Colony Bus Stop,13.1307,80.2023
7309,Kolathur-Vinayagapuram Bus stop,13.14,80.2055
7311,Kondithope-Bus Stop,13.1055,80.2758
7312,Korattur-Bus Stand,13.111222,80.184346
7313,Korattur-Lucas Patavatamman MTC Stop,13.1011,80.1899
7881,Korattur-Railway Station,13.1129,80.184
7850,Korukkupet-Bus stop,13.119576,80.278431
7317,Kottivakkam-Bus Stand,12.9695,80.2576
7316,Kottivakkam-IBP Petrol Bunk,12.968,80.2573
7318,Kotturpuram-Anna University,13.0128,80.2403
7320,Kotturpuram-ICICI Bank,13.0204,80.2432
7319,Kotturpuram-Police Station,13.017438,80.240824
7868,Kovilambakkam- Vadakupattu Gangai Amman Temple,12.9335,80.1882
7323,Kovilambakkam-Bus Stop,12.939045,80.182339
7322,Kovilambakkam-Eachangadu bus stop,12.9492,80.1839
7325,Kovur-Bharat Petrol bunk,13.0117,80.129
7326,Kovur-EB Bus Stop,13.0106,80.1145
7324,Kovur-MTC Bus Stop,13.0099,80.1202
7718,Kovur-Periya Panicherry,13.0125,80.1322
7328,Koyambedu-Adyar Ananda Bhavan,13.0712,80.2034
7330,Koyambedu-Rohini Complex,13.0754,80.1959
7331,Kumananchavadi-Bus Stand,13.045,80.1159
14454,"Kundrathur - Sri Ranibai Matriculation School, Pidarithangal",13.0681894,80.0876155
14453,kundrathur - Venkata Subramani Nagar Bus Stop,12.977382,80.103046
7834,Kundrathur -Murugan Temple- Bus stop,12.9872,80.0933
7822,Kundrathur-Karaima Nagar Bus stop,12.9896,80.117
7332,Kundrathur-Mtc Bus Stop,12.9969,80.0963
7334,M R Nagar-MTC Bus Stop,13.1303,80.2504
7719,Madambakkam-Bharath University,12.9081,80.1427
7335,Madambakkam-Bus stop,12.900809,80.161598
7720,Madambakkam-Kozhi Pannai Bus Stop,12.9035,80.1586
7336,Madambakkam-Noothencheri Bus stop,12.8978,80.1671
7721,Madambakkam-VGP Bus Stop,12.9129,80.1553
14416,Madanan Kuppam - Bus Stop,13.135503,80.190251
7337,Madanandapuram-MTC Bus Stop,13.023,80.1465
7722,Madanandapuram-Pon Vidhyashram school,13.0146,80.153
14456,Madhavaram - - Assisi Nagar - St. Josephs School,13.1658365,80.2348377
7340,Madhavaram-Arul Nagar MTC Bus Stop,13.1456,80.2398
7338,Madhavaram-Nagarathchi Office,13.1478,80.2309
7339,Madhavaram-Tabal Petti,13.1435,80.2377
7341,Madhya Kailash-IIT Madras,13.0066,80.2419
7342,Madhyakailash-Bus stop,13.0066,80.2467
7346,Madipakkam-Balaiya garden,12.965386,80.201094
7345,Madipakkam-Bus Terminus,12.962907,80.198051
7343,Madipakkam-Koottu Road Junction,12.966005,80.188566
7797,Madipakkam-Ram Nagar,12.965169,80.207441
7344,Madipakkam-Sadashivanagar Bus Stop,12.965542,80.204819
7871,Madipakkam-Siva Vishnu Temple,12.9577,80.1991
7349,"Maduravoyal-Earikarai Bus Stop, Land Mark (Schram Academy School)",13.0614,80.1645
7350,Maduravoyal-Market Bus Stop,13.064,80.168
7351,Maduravoyal-MGR college,13.067782,80.178354
7352,Maduvankarai-Bus stop,13.003688,80.211988
7353,Mahalingapuram-Ayappa Temple,13.0564,80.232
14152,Manali New Town - Bus Terminal,13.1978973,80.2755003
7356,Manali-Bus Stand,13.16997,80.257277
7354,Manali-MMC,13.1616,80.2439
7355,Manali-MMDA,13.1691,80.2478
7358,Mandaveli-Bus Depot,13.026315,80.265626
7723,Mandaveli-St Antonys Girls Higher Secondary School,13.0289,80.2741
7359,Mangadu-Bus Stop,13.0315,80.1111
7839,Mangadu-Gangai Amman Temple Bus Stop,13.0381,80.1131
7360,Manimangalam-Bus Stop,12.916256,80.040234
7724,Manimangalam-PTC Quarters Bus stop,12.916888,80.061857
7726,Mannady-Broadway theater,13.1001,80.2868
7362,Mannady-Excellent Hotel,13.0969,80.2865
7361,Mannady-Police Station,13.0943,80.2862
7363,Mannivakkam-Bus Stop,12.8942,80.0642
7853,Mannurpet-Vinayagar Kovil Bus stop,13.0982,80.1761
7364,Mappedu-Bus Stop,12.891,80.1409
14466,Maraimalai Nagar- Railway Station Bus Stop,12.796609,80.020995
7727,Maraimalai Nagar-Government Hospital,12.7909,80.0328
7365,Maraimalai Nagar-Main Bus Stand,12.7904,80.0335
7874,Maraimalai Nagar-Rail Nagar Bus stop,12.7983,80.0386
14231,Medavakkam - Time Kids Preschool,12.9234579,80.1896969
7368,Medavakkam-Bus stop,12.9173,80.1915
7367,Medavakkam-Koot Road Bus Stand,12.919855,80.182115
7728,Medavakkam-Ranganatha Puram Bus Stop,12.918968,80.187531
7366,Medavakkam-Vijayanagaram,12.9183327,80.1767312
7369,Meenambakkam-Airport Bus Stand,12.9875,80.1762
7371,Mehta Nagar-Bus stop,13.0679,80.2267
7373,MGR Nagar-MTC Bus Stop,13.0363,80.2017
7375,Mint-Bus Terminus,13.1042,80.2758
7374,Mint-Moolakothiram Bus Stop,13.1035,80.2737
7376,Mint-Stanley Medical College Bus Stop,13.1051,80.2839
7377,MKB Nagar-Mullai Nagar Bus Stand,13.1234,80.2653
7729,MMDA-Hotel Vallavan Chettinad,13.063861,80.211626
7379,MMDA-Water Tank Bus stop,13.0697095,80.2152826
7389,Mogappair East-J J Nagar,13.0848,80.1832
7831,Mogappair East-Masoodhi Bus Stop,13.081,80.1844
7390,Mogappair West-Bus Stand,13.082996,80.17054
7388,Mogappair-Collector Nagar,13.0878,80.188
7380,Mogappair-D R Supper Market,13.0816,80.167
7798,Mogappair-Golden Flats,13.0883,80.1784
7383,Mogappair-HP Petrol Bunk,13.0887,80.1748
7381,Mogappair-MGR Statue,13.0853,80.1699
7799,Mogappair-MMM Hospital,13.086251,80.188078
7384,Mogappair-Park Road Junction,13.0799,80.1878
7391,Moolakadai-MTC Bus Stop,13.1298,80.2406
7392,Moulivakkam-Baikadai,13.0194,80.1428
7393,Mount Road-Devi Theatre/Shanthi Theatre,13.0662,80.2704
7394,Mount Road-LIC,13.0643,80.2657
7395,Movarasampet-Bus stop,12.9695,80.1862
7730,MRC Nagar-Bus Stop Ayyapan kovil,13.018962,80.267531
